,epsilon_progress,nfe
0,0,0
1,30,100
2,126,1197
3,157,2293
4,198,3387
5,237,4485
6,259,5581
7,281,6679
8,288,7776
9,290,8872
10,292,9969
11,293,11068
12,298,12164
13,301,13263
14,301,14360
15,301,15452
16,301,16549
17,301,17640
18,301,18735
19,301,19832
20,301,20926
21,301,22023
22,301,23112
23,301,24208
24,301,25301
25,301,26396
26,301,27495
27,301,28592
28,301,29687
29,301,30784
30,301,31881
31,301,32978
32,301,34077
33,301,35174
34,301,36268
35,301,37363
36,301,38457
37,301,39553
38,301,40649
39,301,41741
40,301,42837
41,301,43935
42,301,45032
43,301,46126
44,301,47216
45,301,48313
46,301,49406
47,301,50502
48,301,51600
49,301,52696
50,301,53790
51,301,54880
52,301,55975
53,301,57070
54,301,58166
55,301,59261
56,301,60357
57,301,61454
58,301,62549
59,301,63641
60,301,64737
61,301,65831
62,301,66927
63,301,68020
64,301,69114
65,301,70209
66,301,71304
67,301,72399
68,301,73492
69,301,74583
70,301,75679
71,301,76777
72,301,77876
73,301,78974
74,301,80070
75,301,81169
76,301,82263
77,301,83361
78,301,84457
79,301,85553
80,301,86645
81,301,87742
82,301,88835
83,301,89929
84,301,91025
85,301,92120
86,301,93214
87,301,94308
88,301,95403
89,301,96502
90,301,97597
91,301,98694
92,303,99696
93,303,100005
