,epsilon_progress,nfe
0,0,0
1,33,100
2,119,1197
3,171,2291
4,213,3388
5,240,4483
6,258,5581
7,275,6676
8,294,7773
9,305,8871
10,315,9967
11,353,11023
12,357,12082
13,362,13139
14,366,14198
15,368,15255
16,368,16313
17,373,17370
18,373,18428
19,373,19485
20,373,20544
21,374,21601
22,375,22659
23,376,23718
24,378,24774
25,378,25834
26,379,26893
27,380,27945
28,380,29003
29,381,30061
30,383,31119
31,383,32179
32,383,33237
33,383,34293
34,383,35352
35,383,36412
36,383,37470
37,383,38526
38,383,39582
39,383,40641
40,383,41700
41,383,42760
42,383,43818
43,383,44876
44,383,45934
45,383,46991
46,383,48051
47,383,49107
48,383,50165
49,383,51224
50,383,52279
51,383,53336
52,383,54395
53,383,55454
54,383,56514
55,383,57573
56,383,58631
57,383,59691
58,383,60748
59,383,61807
60,383,62866
61,383,63926
62,383,64986
63,383,66043
64,383,67102
65,383,68157
66,383,69213
67,383,70271
68,383,71329
69,383,72389
70,383,73445
71,383,74503
72,383,75562
73,383,76620
74,383,77680
75,383,78736
76,383,79796
77,383,80855
78,383,81910
79,383,82967
80,383,84026
81,383,85083
82,383,86140
83,383,87200
84,383,88257
85,383,89317
86,383,90375
87,383,91432
88,383,92492
89,383,93546
90,383,94605
91,383,95663
92,383,96721
93,383,97779
94,383,98837
95,383,99895
96,383,100107
