,epsilon_progress,nfe
0,0,0
1,25,100
2,88,1193
3,159,2288
4,205,3385
5,219,4482
6,232,5577
7,242,6674
8,247,7771
9,251,8869
10,262,9966
11,267,11062
12,270,12153
13,274,13251
14,277,14348
15,280,15444
16,280,16542
17,282,17635
18,282,18732
19,282,19829
20,288,20856
21,288,21856
22,288,22883
23,288,23914
24,288,24939
25,288,25968
26,288,26970
27,288,28005
28,288,29034
29,288,30068
30,288,31098
31,288,32098
32,288,33126
33,288,34157
34,288,35191
35,288,36193
36,288,37222
37,288,38255
38,288,39283
39,288,40318
40,288,41320
41,288,42321
42,288,43347
43,288,44349
44,288,45379
45,288,46411
46,288,47438
47,288,48472
48,288,49472
49,288,50506
50,288,51536
51,288,52571
52,288,53599
53,288,54634
54,288,55634
55,288,56636
56,288,57638
57,288,58641
58,288,59649
59,288,60658
60,288,61662
61,288,62667
62,288,63668
63,288,64670
64,288,65674
65,288,66682
66,288,67691
67,288,68694
68,288,69697
69,288,70701
70,288,71707
71,288,72712
72,288,73720
73,288,74723
74,290,75726
75,290,76727
76,290,77729
77,290,78736
78,290,79743
79,290,80744
80,290,81749
81,290,82755
82,290,83756
83,290,84762
84,290,85769
85,290,86772
86,290,87781
87,290,88783
88,290,89787
89,290,90788
90,290,91789
91,290,92789
92,290,93793
93,293,94800
94,293,95809
95,293,96815
96,293,97816
97,293,98821
98,293,99829
99,293,100003
