,epsilon_progress,nfe
0,0,0
1,31,100
2,100,1100
3,149,2195
4,190,3290
5,236,4385
6,258,5479
7,279,6574
8,305,7672
9,315,8765
10,318,9858
11,322,10954
12,323,12045
13,325,13137
14,330,14234
15,331,15332
16,333,16431
17,333,17525
18,336,18618
19,338,19714
20,342,20740
21,342,21769
22,342,22806
23,342,23840
24,342,24869
25,342,25902
26,342,26937
27,342,27968
28,342,28999
29,342,30033
30,342,31069
31,342,32104
32,342,33138
33,342,34172
34,342,35206
35,342,36245
36,342,37280
37,342,38311
38,342,39351
39,342,40387
40,342,41421
41,342,42449
42,342,43477
43,342,44514
44,342,45546
45,342,46578
46,342,47612
47,342,48642
48,342,49672
49,342,50703
50,342,51734
51,342,52766
52,342,53801
53,342,54829
54,342,55862
55,342,56895
56,342,57928
57,342,58959
58,342,59993
59,342,61025
60,342,62060
61,342,63091
62,342,64124
63,342,65159
64,342,66197
65,342,67231
66,342,68263
67,342,69294
68,342,70331
69,342,71358
70,344,72361
71,344,73368
72,344,74374
73,344,75377
74,344,76380
75,344,77383
76,344,78388
77,344,79391
78,344,80392
79,344,81394
80,344,82403
81,344,83412
82,344,84412
83,344,85420
84,344,86426
85,344,87428
86,344,88433
87,344,89435
88,344,90439
89,345,91445
90,345,92447
91,345,93453
92,345,94456
93,345,95464
94,345,96466
95,345,97469
96,345,98477
97,345,99482
98,345,100008
