A1_Expected_Annual_Damage,A1_Dike_Investment_Costs,A1_Expected_Number_of_Deaths,A2_Expected_Annual_Damage,A2_Dike_Investment_Costs,A2_Expected_Number_of_Deaths,A3_Expected_Annual_Damage,A3_Dike_Investment_Costs,A3_Expected_Number_of_Deaths,A4_Expected_Annual_Damage,A4_Dike_Investment_Costs,A4_Expected_Number_of_Deaths,A5_Expected_Annual_Damage,A5_Dike_Investment_Costs,A5_Expected_Number_of_Deaths,RfR_Total_Costs,Expected_Evacuation_Costs
2558967695.3906775,0,1.5215681720105942,0.0,42818415.6714978,0.0,0.0,24198032.45136138,0.0,0.0,14261651.781499248,0.0,39989590.10791709,44193513.54513965,0.034505492647749915,115300000.0,0.0
0.0,0,0.0,23085330.50199455,42818415.6714978,0.02171606868832551,1199431641.662493,24198032.45136138,2.01725228959692,0.0,14261651.781499248,0.0,0.0,44193513.54513965,0.0,115300000.0,0.0
2025114531.9437118,0,1.5203131024368268,34352789.73710092,42818415.6714978,0.039531021384870385,0.0,24198032.45136138,0.0,4930412.964980898,14261651.781499248,0.002372429606559841,0.0,44193513.54513965,0.0,115300000.0,0.0
363083374.6950916,0,0.18638894196886494,0.0,42818415.6714978,0.0,7127823.795882866,24198032.45136138,0.009496709122706401,269779.44680566236,14261651.781499248,9.608280004487667e-05,28490124.402175434,44193513.54513965,0.019058052914921728,115300000.0,0.0
7783565.715005346,0,0.005740440428590383,11425246.503456013,42818415.6714978,0.013089776444331501,59502077.029685274,24198032.45136138,0.10350346608483574,0.0,14261651.781499248,0.0,502248423.65230644,44193513.54513965,0.4339302920490772,115300000.0,0.0
0.0,0,0.0,51139183.14983146,42818415.6714978,0.055238582590524,0.0,24198032.45136138,0.0,15321108.1131075,14261651.781499248,0.0069659352621808035,185825474.53765735,44193513.54513965,0.15870744322255992,115300000.0,0.0
0.0,0,0.0,56853391.25578282,42818415.6714978,0.054912751811165596,77628355.42584518,24198032.45136138,0.15397597476943906,0.0,14261651.781499248,0.0,0.0,44193513.54513965,0.0,115300000.0,0.0
1076407871.1218565,0,0.7085336329490456,3478940.236399753,42818415.6714978,0.003484965976681363,11910030.74605516,24198032.45136138,0.025188736267510795,8595635.894504836,14261651.781499248,0.004782169198430438,0.0,44193513.54513965,0.0,115300000.0,0.0
7818412.87751808,0,0.005531861340573362,32264623.876145136,42818415.6714978,0.03140224730566877,24946228.737856798,24198032.45136138,0.033395562401428054,15517472.666500006,14261651.781499248,0.005641297986550146,0.0,44193513.54513965,0.0,115300000.0,0.0
0.0,0,0.0,8168986.650120553,42818415.6714978,0.00802432963332287,20793470.97957045,24198032.45136138,0.02820873809348937,16427331.861783255,14261651.781499248,0.006228360608338317,0.0,44193513.54513965,0.0,115300000.0,0.0
0.0,0,0.0,14341779.181754993,42818415.6714978,0.01689880101037295,46274813.809285544,24198032.45136138,0.09968302810751839,20169888.194409132,14261651.781499248,0.011260533646543811,0.0,44193513.54513965,0.0,115300000.0,0.0
