A1_Expected_Annual_Damage,A1_Dike_Investment_Costs,A1_Expected_Number_of_Deaths,A2_Expected_Annual_Damage,A2_Dike_Investment_Costs,A2_Expected_Number_of_Deaths,A3_Expected_Annual_Damage,A3_Dike_Investment_Costs,A3_Expected_Number_of_Deaths,A4_Expected_Annual_Damage,A4_Dike_Investment_Costs,A4_Expected_Number_of_Deaths,A5_Expected_Annual_Damage,A5_Dike_Investment_Costs,A5_Expected_Number_of_Deaths,RfR_Total_Costs,Expected_Evacuation_Costs
0.0,0,0.0,3837396.0891692946,42818415.6714978,0.0035125393234502157,17943395.159853786,24198032.45136138,0.03928893340832155,3487275.0329336147,14261651.781499248,0.0022298745364524625,5949648.567953637,44193513.54513965,0.006670853627107497,115300000.0,0.0
323827136.595839,0,0.18152263671102473,146712971.9983095,42818415.6714978,0.11119332109241988,557774.0529656733,24198032.45136138,0.0007391745528963744,19272809.636812154,14261651.781499248,0.0065717439589710325,0.0,44193513.54513965,0.0,115300000.0,0.0
0.0,0,0.0,0.0,42818415.6714978,0.0,22625716.032700803,24198032.45136138,0.03961271949797514,4579754.571623947,14261651.781499248,0.002348091702337993,526375.8571778586,44193513.54513965,0.00047176383304286526,115300000.0,0.0
10440146.112847218,0,0.00911381581996559,71567733.911891,42818415.6714978,0.08791312880039158,77830015.29825434,24198032.45136138,0.19329291249145802,0.0,14261651.781499248,0.0,0.0,44193513.54513965,0.0,115300000.0,0.0
0.0,0,0.0,10467153.347489638,42818415.6714978,0.014952873943532955,408727690.7665291,24198032.45136138,0.9560329049135806,0.0,14261651.781499248,0.0,0.0,44193513.54513965,0.0,115300000.0,0.0
11317922.940647427,0,0.008437789427390409,3287446.584791406,42818415.6714978,0.003501239780602774,5234251.065651423,24198032.45136138,0.011564352071847809,16163563.312714797,14261651.781499248,0.009237886019581771,151509022.4179547,44193513.54513965,0.1604415423479104,115300000.0,0.0
39085031.7070924,0,0.033023566842045785,134934110.85090032,42818415.6714978,0.16255129369551075,0.0,24198032.45136138,0.0,29870374.640404712,14261651.781499248,0.015894252296544814,0.0,44193513.54513965,0.0,115300000.0,0.0
0.0,0,0.0,26783177.229406405,42818415.6714978,0.0346046017062321,458622283.1826175,24198032.45136138,0.9387525698503946,0.0,14261651.781499248,0.0,0.0,44193513.54513965,0.0,115300000.0,0.0
2538740597.8269176,0,1.669825218794063,0.0,42818415.6714978,0.0,0.0,24198032.45136138,0.0,0.0,14261651.781499248,0.0,0.0,44193513.54513965,0.0,115300000.0,0.0
0.0,0,0.0,13483910.379049953,42818415.6714978,0.01625652777188344,37399826.72108449,24198032.45136138,0.08144971095750324,51890167.33349318,14261651.781499248,0.02646019340633152,0.0,44193513.54513965,0.0,115300000.0,0.0
13975059.72343162,0,0.00932864724984338,834830577.9970505,42818415.6714978,0.7000174970854323,0.0,24198032.45136138,0.0,25785816.56505177,14261651.781499248,0.012580956928571734,0.0,44193513.54513965,0.0,115300000.0,0.0
0.0,0,0.0,963364837.6066558,42818415.6714978,0.705660258092714,0.0,24198032.45136138,0.0,0.0,14261651.781499248,0.0,0.0,44193513.54513965,0.0,115300000.0,0.0
3341930575.1360226,0,1.7106916154870129,0.0,42818415.6714978,0.0,0.0,24198032.45136138,0.0,434048.93298460654,14261651.781499248,0.00014371574200055512,0.0,44193513.54513965,0.0,115300000.0,0.0
38619120.793912396,0,0.024002172788948624,77322312.31564674,42818415.6714978,0.06741641357135027,0.0,24198032.45136138,0.0,8754276.638114715,14261651.781499248,0.004943358056738227,0.0,44193513.54513965,0.0,115300000.0,0.0
